Month,Week,1,2,3,4,5,6,7,Total
1,1,12.0%,11.7%,18.8%,10.4%,12.7%,17.2%,17.2%,100.0%
1,2,12.5%,12.1%,12.1%,12.1%,13.3%,18.8%,19.2%,100.0%
1,3,12.5%,12.0%,12.0%,12.0%,13.2%,19.0%,19.3%,100.0%
1,4,9.9%,9.3%,11.7%,11.7%,16.7%,20.4%,20.4%,100.0%
2,5,16.6%,17.8%,12.8%,12.8%,12.5%,13.7%,13.9%,100.0%
2,6,12.4%,11.7%,11.7%,11.7%,12.9%,19.5%,20.2%,100.0%
2,7,12.2%,15.6%,11.5%,11.5%,13.1%,17.9%,18.3%,100.0%
2,8,12.2%,11.9%,11.9%,11.9%,12.8%,19.4%,19.7%,100.0%
3,9,13.2%,12.9%,12.9%,13.1%,10.1%,18.9%,18.9%,100.0%
3,10,12.0%,11.6%,11.6%,11.6%,12.7%,20.1%,20.5%,100.0%
3,11,12.3%,11.7%,11.9%,11.9%,12.8%,19.5%,19.8%,100.0%
3,12,17.7%,11.5%,11.5%,11.5%,12.2%,17.8%,17.8%,100.0%
3,13,10.9%,9.9%,9.9%,10.4%,14.8%,21.8%,22.3%,100.0%
4,14,13.0%,14.1%,12.4%,12.4%,15.7%,16.2%,16.2%,100.0%
4,15,13.0%,11.5%,11.5%,11.5%,13.9%,19.2%,19.2%,100.0%
4,16,12.3%,11.8%,11.8%,11.8%,13.0%,19.5%,19.7%,100.0%
4,17,11.3%,10.9%,10.9%,14.5%,14.4%,18.9%,19.0%,100.0%
5,18,10.9%,10.4%,10.4%,19.3%,13.3%,17.6%,18.1%,100.0%
5,19,12.6%,11.9%,11.9%,11.9%,13.3%,19.0%,19.3%,100.0%
5,20,18.3%,11.0%,11.0%,11.0%,11.9%,18.3%,18.5%,100.0%
5,21,11.0%,10.6%,10.6%,13.3%,12.6%,21.0%,21.0%,100.0%
6,22,12.8%,12.5%,12.5%,12.5%,13.8%,17.8%,18.2%,100.0%
6,23,17.4%,10.9%,10.9%,10.9%,13.7%,18.0%,18.1%,100.0%
6,24,12.1%,11.5%,11.5%,11.5%,13.1%,20.2%,20.2%,100.0%
6,25,12.4%,11.6%,11.6%,11.6%,13.8%,19.2%,19.7%,100.0%
6,26,10.3%,10.1%,12.9%,11.6%,14.9%,20.1%,20.1%,100.0%
7,27,12.2%,11.5%,11.5%,11.5%,13.0%,20.0%,20.3%,100.0%
7,28,12.6%,11.9%,11.9%,11.9%,13.3%,18.9%,19.4%,100.0%
7,29,12.6%,11.9%,11.9%,11.9%,13.4%,19.0%,19.3%,100.0%
7,30,11.4%,10.5%,10.5%,13.5%,14.1%,20.0%,20.0%,100.0%
8,31,12.4%,11.9%,11.9%,12.1%,12.6%,19.6%,19.6%,100.0%
8,32,12.4%,11.6%,11.6%,11.6%,13.1%,19.8%,19.8%,100.0%
8,33,12.9%,12.0%,12.0%,12.0%,13.4%,18.8%,18.8%,100.0%
8,34,11.9%,11.4%,11.4%,11.4%,12.9%,20.5%,20.5%,100.0%
9,35,12.6%,10.9%,10.9%,11.4%,12.6%,20.2%,21.4%,100.0%
9,36,15.6%,11.2%,11.2%,11.2%,15.5%,17.6%,17.6%,100.0%
9,37,12.7%,12.2%,12.2%,12.2%,13.1%,18.8%,18.8%,100.0%
9,38,13.6%,15.7%,11.4%,11.4%,12.6%,17.6%,17.6%,100.0%
9,39,11.0%,10.4%,10.4%,13.0%,13.6%,20.8%,20.8%,100.0%
10,40,12.1%,11.8%,11.8%,11.9%,12.8%,19.8%,19.8%,100.0%
10,41,12.2%,11.9%,11.9%,11.9%,13.5%,19.3%,19.3%,100.0%
10,42,12.6%,12.0%,12.0%,12.0%,13.4%,18.9%,19.1%,100.0%
10,43,16.7%,10.8%,10.8%,10.8%,12.5%,19.3%,19.3%,100.0%
11,44,12.0%,11.3%,11.3%,11.3%,13.1%,20.4%,20.5%,100.0%
11,45,12.5%,11.6%,11.6%,11.6%,13.2%,19.7%,19.8%,100.0%
11,46,12.6%,11.9%,11.9%,11.9%,13.2%,19.3%,19.3%,100.0%
11,47,12.0%,11.7%,11.7%,12.0%,13.5%,19.5%,19.5%,100.0%
12,48,12.7%,11.7%,11.7%,11.7%,13.5%,19.4%,19.4%,100.0%
12,49,12.4%,11.9%,11.9%,11.9%,13.5%,19.3%,19.3%,100.0%
12,50,12.8%,12.2%,12.2%,12.2%,13.2%,18.7%,18.7%,100.0%
12,51,11.2%,10.4%,10.4%,13.1%,13.1%,20.9%,20.9%,100.0%
12,52,11.6%,11.4%,12.8%,15.3%,11.6%,18.6%,18.6%,100.0%
,,,,,,,,,
